symbol,open_time_ms,open,high,low,close,volume,close_time_ms,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
ETHUSDT,1768794000000,3206.65000000,3209.85000000,3206.65000000,3208.48000000,2193.59280000,1768794299999,7037711.57932500,12426,1488.35700000,4774937.85839600,0
ETHUSDT,1768794300000,3208.48000000,3210.00000000,3207.68000000,3209.60000000,1613.74330000,1768794599999,5178589.60294700,9111,1223.01120000,3924681.69832200,0
ETHUSDT,1768794600000,3209.60000000,3212.52000000,3209.59000000,3212.14000000,1578.75050000,1768794899999,5069088.29879100,7689,1268.62310000,4073284.56483000,0
ETHUSDT,1768794900000,3212.14000000,3213.05000000,3212.00000000,3212.29000000,1838.02610000,1768795199999,5904467.68902800,6627,1365.77790000,4387364.67115800,0
ETHUSDT,1768795200000,3212.28000000,3215.58000000,3208.00000000,3209.50000000,2597.14680000,1768795499999,8339729.33688700,18276,1605.62900000,5155924.43610400,0
ETHUSDT,1768795500000,3209.50000000,3211.25000000,3206.70000000,3209.41000000,2100.59770000,1768795799999,6740036.65574100,11247,1431.49070000,4592897.46600000,0
ETHUSDT,1768795800000,3209.42000000,3211.58000000,3208.60000000,3208.60000000,2021.16010000,1768796099999,6487990.19046400,9906,1452.10990000,4661266.10493600,0
ETHUSDT,1768796100000,3208.60000000,3213.00000000,3207.20000000,3211.23000000,2003.90240000,1768796399999,6430330.84599300,9942,1536.48330000,4930266.28393700,0
ETHUSDT,1768796400000,3211.23000000,3211.62000000,3205.45000000,3208.22000000,1782.06170000,1768796699999,5718175.06052300,9392,1241.18750000,3982699.54698600,0
ETHUSDT,1768796700000,3208.23000000,3213.76000000,3206.60000000,3212.60000000,1958.31010000,1768796999999,6287037.96174700,8704,1526.72450000,4901368.46292000,0
ETHUSDT,1768797000000,3212.60000000,3212.86000000,3209.41000000,3209.66000000,1918.55880000,1768797299999,6160830.67535200,8703,1325.58990000,4256717.38253300,0
ETHUSDT,1768797300000,3209.66000000,3213.87000000,3208.13000000,3213.64000000,2130.07850000,1768797599999,6839552.78085500,8874,1712.82840000,5499720.10230200,0
ETHUSDT,1768797600000,3213.64000000,3215.40000000,3211.53000000,3214.55000000,2062.40450000,1768797899999,6628560.26226100,9449,1560.43390000,5015240.73102800,0
ETHUSDT,1768797900000,3214.55000000,3215.99000000,3212.57000000,3215.28000000,1925.36450000,1768798199999,6188676.90345800,10623,1419.96620000,4564086.04858400,0
ETHUSDT,1768798200000,3215.28000000,3218.02000000,3214.89000000,3216.61000000,2159.15060000,1768798499999,6944099.18477100,12983,1497.15940000,4815037.28215400,0
ETHUSDT,1768798500000,3216.61000000,3216.75000000,3212.77000000,3212.97000000,2130.77760000,1768798799999,6849698.91499700,9041,1338.09020000,4301327.76216800,0
ETHUSDT,1768798800000,3212.96000000,3215.21000000,3212.96000000,3214.69000000,1674.61710000,1768799099999,5382334.67132100,8516,1346.39040000,4327366.59244000,0
ETHUSDT,1768799100000,3214.70000000,3215.67000000,3211.53000000,3214.60000000,2133.87940000,1768799399999,6857738.99878000,11346,1389.79600000,4466549.90048200,0
ETHUSDT,1768799400000,3214.60000000,3215.09000000,3203.12000000,3204.55000000,4953.29710000,1768799699999,15893516.78308400,17108,2745.86770000,8810045.47409600,0
ETHUSDT,1768799700000,3204.55000000,3204.78000000,3200.00000000,3200.63000000,3291.91010000,1768799999999,10542259.90356400,12462,1956.53330000,6265359.92053100,0
